Date,Time,Day,Station,Code,Min Delay,Min Gap,Bound,Line,Vehicle
2017/08/01,02:10,Tuesday,GLENCAIRN STATION,PUTOE,0,0,N,YU,0
2017/08/01,05:44,Tuesday,KENNEDY BD STATION,TUSC,0,0,W,BD,5322
2017/08/01,06:38,Tuesday,SHEPPARD WEST STATION,EUNT,0,0,N,YU,5086
2017/08/01,06:42,Tuesday,KENNEDY BD STATION,MUSC,0,0,W,BD,5100
2017/08/01,06:45,Tuesday,ISLINGTON STATION,MUSC,4,9,E,BD,5369
2017/08/01,06:46,Tuesday,KENNEDY BD STATION,MUSC,0,0,W,BD,5250
2017/08/01,07:25,Tuesday,KENNEDY SRT STATION,ERDB,5,10,S,SRT,3006
2017/08/01,07:49,Tuesday,ST GEORGE BD STATION,PUTIJ,4,6,E,BD,5090
2017/08/01,07:52,Tuesday,ISLINGTON STATION,PUMEL,0,0,,BD,0
2017/08/01,08:09,Tuesday,LESLIE STATION,TUSC,0,0,W,SHP,6166
2017/08/01,08:23,Tuesday,GLENCAIRN STATION,TUSC,0,0,N,YU,5836
2017/08/01,08:36,Tuesday,ST PATRICK STATION,MUPAA,0,0,S,YU,5731
2017/08/01,08:46,Tuesday,DUPONT STATION,MUPAA,0,0,S,YU,5516
2017/08/01,08:47,Tuesday,KIPLING STATION,TUSC,0,0,W,BD,5307
2017/08/01,08:52,Tuesday,SUMMERHILL STATION,MUTD,0,0,S,YU,5886
2017/08/01,08:59,Tuesday,CHRISTIE STATION,MUSC,0,0,E,BD,5294
2017/08/01,09:09,Tuesday,COXWELL STATION,MUSC,0,0,W,BD,5363
2017/08/01,09:10,Tuesday,BLOOR STATION,MUIRS,0,0,S,YU,0
2017/08/01,09:31,Tuesday,FINCH STATION,MUSC,0,0,N,YU,5516
2017/08/01,10:10,Tuesday,ROYAL YORK STATION,SUCOL,0,0,E,BD,5067
2017/08/01,12:15,Tuesday,YONGE UNIVERSITY LINE,MUGD,0,0,,YU,0
2017/08/01,12:45,Tuesday,ROYAL YORK STATION,EUDO,5,8,E,BD,5252
2017/08/01,12:57,Tuesday,KIPLING STATION,MUDD,3,6,W,BD,5090
2017/08/01,13:36,Tuesday,MIDLAND STATION,MRO,3,8,N,SRT,3027
2017/08/01,13:38,Tuesday,YORK MILLS STATION,MUNCA,0,0,,YU,0
2017/08/01,13:39,Tuesday,ROYAL YORK STATION,PUSTC,3,6,E,BD,5192
2017/08/01,13:48,Tuesday,QUEEN'S PARK STATION,SUDP,12,15,S,YU,6016
2017/08/01,14:02,Tuesday,EGLINTON STATION,TUNIP,5,8,S,YU,5891
2017/08/01,14:06,Tuesday,UNION STATION,SUDP,8,11,S,YU,6016
2017/08/01,14:15,Tuesday,DUPONT STATION,TUSC,0,0,S,YU,5821
2017/08/01,14:43,Tuesday,EGLINTON STATION,TUMVS,0,0,N,YU,5696
2017/08/01,14:47,Tuesday,DONLANDS STATION,EUCD,3,6,E,BD,5252
2017/08/01,15:06,Tuesday,UNION STATION,SUO,3,6,N,YU,5961
2017/08/01,15:15,Tuesday,MCCOWAN STATION,ERAC,5,10,N,SRT,3001
2017/08/01,15:52,Tuesday,YONGE BD STATION,MUSC,3,6,W,BD,5240
2017/08/01,16:00,Tuesday,WILSON CARHOUSE,MUO,0,0,,YU,0
2017/08/01,16:04,Tuesday,SPADINA BD STATION,MUDD,3,6,W,BD,5274
2017/08/01,16:09,Tuesday,OSSINGTON STATION,TUSC,0,0,W,BD,5274
2017/08/01,16:12,Tuesday,KIPLING STATION,TUSC,0,0,W,BD,5317
2017/08/01,16:20,Tuesday,WILSON HOSTLER,MUSC,0,0,S,YU,5976
2017/08/01,16:47,Tuesday,WILSON STATION,MUIS,0,0,,YU,0
2017/08/01,16:49,Tuesday,CHRISTIE STATION,TUSC,0,0,W,BD,5334
2017/08/01,16:56,Tuesday,QUEEN'S PARK STATION,TUSC,0,0,N,YU,5716
2017/08/01,17:33,Tuesday,MUSEUM STATION,MUPAA,0,0,N,YU,5736
2017/08/01,18:12,Tuesday,SCARB CTR STATION,SRAP,0,0,,SRT,0
2017/08/01,19:13,Tuesday,KING STATION,MUIE,0,0,N,YU,5881
2017/08/01,19:35,Tuesday,CHESTER STATION,SUO,5,8,W,BD,5290
2017/08/01,20:05,Tuesday,KEELE STATION,MUSC,0,0,E,BD,5049
2017/08/01,20:09,Tuesday,ST CLAIR WEST STATION,MUTO,0,0,N,YU,5691
2017/08/01,20:52,Tuesday,JANE STATION,MUI,0,0,,BD,0
2017/08/01,22:00,Tuesday,YUS/BD/SHEPPARD SUBWAY,MUO,0,0,,BD,0
2017/08/01,22:16,Tuesday,LAWRENCE EAST STATION,SRO,0,0,,SRT,0
2017/08/01,22:35,Tuesday,SHEPPARD WEST STATION,MUSC,0,0,S,YU,5536
2017/08/01,22:43,Tuesday,ST CLAIR STATION,MUTD,0,0,S,YU,6026
2017/08/02,00:17,Wednesday,WILSON STATION,MUPAA,0,0,N,YU,5961
