Date,Time,Day,Station,Code,Min Delay,Min Gap,Bound,Line,Vehicle
2017/06/01,06:23,Thursday,KIPLING STATION,MUSC,0,0,E,BD,5260
2017/06/01,07:10,Thursday,KIPLING STATION,MUSC,0,0,E,BD,5190
2017/06/01,07:34,Thursday,ELLESMERE STATION,ERTC,0,0,N,SRT,3009
2017/06/01,07:38,Thursday,CASTLE FRANK STATION,MUSC,0,0,E,BD,5190
2017/06/01,07:40,Thursday,VICTORIA PARK STATION,EUBK,0,0,W,BD,5254
2017/06/01,07:59,Thursday,BLOOR STATION,EUTRD,4,6,N,YU,6061
2017/06/01,08:37,Thursday,ROSEDALE STATION,MUIR,4,6,S,YU,5976
2017/06/01,08:44,Thursday,DUPONT STATION,EUDO,4,6,N,YU,5956
2017/06/01,08:57,Thursday,KIPLING STATION,MUSC,0,0,,BD,5190
2017/06/01,09:03,Thursday,ROYAL YORK STATION,MUSC,0,0,E,BD,5190
2017/06/01,09:11,Thursday,TRANSIT CONTROL CENTRE,PUSRA,0,0,,YU/BD,0
2017/06/01,09:38,Thursday,SHERBOURNE STATION,MUSC,7,9,E,BD,5190
2017/06/01,09:41,Thursday,ELLESMERE STATION,ERTC,0,0,N,SRT,3009
2017/06/01,09:51,Thursday,CHRISTIE STATION,MUSC,11,14,E,BD,5152
2017/06/01,10:06,Thursday,KENNEDY SRT STATION,ERTC,0,0,N,SRT,3009
2017/06/01,11:30,Thursday,BLOOR DANFORTH SUBWAY,MUGD,0,0,,BD,0
2017/06/01,11:31,Thursday,BAYVIEW STATION,MUIR,4,9,E,SHP,6151
2017/06/01,11:41,Thursday,ELLESMERE STATION,ERDO,5,11,S,SRT,3302
2017/06/01,11:58,Thursday,KENNEDY BD STATION,PUTIJ,3,6,E,BD,5183
2017/06/01,12:27,Thursday,BROADVIEW STATION,SUDP,0,0,W,BD,5128
2017/06/01,12:36,Thursday,YONGE SHP STATION,TUMVS,0,0,W,SHP,6161
2017/06/01,13:06,Thursday,KIPLING STATION,TUMVS,0,0,W,BD,5128
2017/06/01,13:39,Thursday,OSSINGTON STATION,EUNT,4,7,W,BD,5210
2017/06/01,13:46,Thursday,ELLESMERE STATION,MRO,5,10,,SRT,3001
2017/06/01,14:26,Thursday,OLD MILL STATION,MUSC,0,0,E,BD,5279
2017/06/01,14:36,Thursday,GREENWOOD YARD,PUSI,6,10,W,BD,0
2017/06/01,15:36,Thursday,KIPLING STATION,TUSC,0,0,E,BD,5111
2017/06/01,15:57,Thursday,SUMMERHILL STATION,SUAP,8,10,N,YU,5841
2017/06/01,15:59,Thursday,EGLINTON WEST STATION,PUTNT,3,5,S,YU,5981
2017/06/01,16:01,Thursday,BLOOR STATION,SUO,0,0,S,YU,0
2017/06/01,16:20,Thursday,MCCOWAN STATION,ERTC,0,0,N,SRT,3009
2017/06/01,16:28,Thursday,SHEPPARD STATION,TUSC,0,0,N,YU,5421
2017/06/01,16:58,Thursday,BLOOR STATION,MUIR,4,6,S,YU,5881
2017/06/01,17:20,Thursday,KIPLING STATION,TUSC,0,0,,BD,5111
2017/06/01,17:31,Thursday,FINCH STATION,MUPAA,0,0,N,YU,5876
2017/06/01,17:36,Thursday,KENNEDY SRT STATION,ERTC,4,9,N,SRT,3009
2017/06/01,17:42,Thursday,SHERBOURNE STATION,MUI,15,17,W,BD,5313
2017/06/01,17:56,Thursday,OSSINGTON STATION,TUMVS,7,10,E,BD,5021
2017/06/01,17:56,Thursday,SHEPPARD STATION,MUNCA,0,0,,YU,0
2017/06/01,18:17,Thursday,COXWELL STATION,MUPAA,0,0,E,BD,5338
2017/06/01,18:29,Thursday,OLD MILL STATION,MUPAA,0,0,W,BD,5158
2017/06/01,18:29,Thursday,LAWRENCE EAST STATION,ERTC,3,8,N,SRT,3009
2017/06/01,18:35,Thursday,KENNEDY BD STATION,MUSC,0,0,W,BD,5128
2017/06/01,18:46,Thursday,WILSON STATION,SUAE,11,14,S,YU,6091
2017/06/01,19:05,Thursday,CHRISTIE STATION,TUSC,0,0,E,BD,5325
