Rank,Subway/RT Station,To Trains,From Trains,Totals,,,,,,
1,"Bloor (line 1, Y-U)","103,975","112,214","216,189",,,,,,
2,"Yonge (line 2, B-D)","95,407","87,831","183,238",,,,,,
3,"St. George (line 1, Y-U)","63,367","72,836","136,203",,,,,,
4,"St. George (line 2, B-D)","64,125","64,851","128,976",,,,,,
5,Union,"58,259","60,187","118,446",,,,,,
6,Finch,"47,895","52,924","100,819",,,,,,
7,Dundas,"37,296","44,038","81,334",,,,,,
8,"Sheppard-Yonge (line 1, Y-U)","37,592","39,227","76,819",,,,,,
9,Eglinton,"33,116","39,630","72,746",,,,,,
10,"Kennedy (line 2, B-D)","34,663","35,125","69,788",,,,,,
11,St. Andrew,"26,454","29,662","56,116",,,,,,
12,King,"23,814","31,995","55,809",,,,,,
13,Kipling,"26,555","26,370","52,925",,,,,,
14,Queen's Park,"22,382","25,688","48,070",,,,,,
15,Queen,"23,747","24,261","48,008",,,,,,
16,College,"21,915","25,877","47,792",, ,,,,
17,Sheppard-Yonge (line 4),"23,295","22,451","45,746",,,,,,
18,Downsview,"19,664","18,006","37,670",,,,,,
19,Islington,"16,383","21,029","37,412",,,,,,
20,Bathurst,"16,329","20,132","36,461",,,,,,
21,St. Clair,"17,501","18,823","36,324",,,,,,
22,Kennedy (line 3),"17,969","17,821","35,790",,,,,,
23,Don Mills,"15,497","18,259","33,756",,,,,,
24,Broadview,"16,916","16,542","33,458",,,,,,
25,"Spadina (line 2, B-D)","15,859","17,347","33,206",,,,,,
26,Ossington,"14,374","17,240","31,614",,,,,,
27,Bay,"15,653","15,205","30,858",,,,,,
28,St. Patrick,"15,425","14,826","30,251",,,,,,
29,Dufferin,"13,994","15,943","29,937",,,,,,
30,Warden,"12,007","17,732","29,739",,,,,,
31,Dundas West,"14,223","15,394","29,617",,,,,,
32,Pape,"13,024","15,686","28,710",,,,,,
33,Victoria Park,"12,305","16,309","28,614",,,,,,
34,York Mills,"14,318","13,827","28,145",,,,,,
35,St. Clair West,"13,872","14,237","28,109",,,,,,
36,Sherbourne,"12,165","13,563","25,728",,,,,,
37,Davisville,"12,414","12,914","25,328",,,,,,
38,Scarborough Centre,"10,979","13,649","24,628",,,,,,
39,Lawrence,"12,358","12,197","24,555",,,,,,
40,North York Centre,"12,062","12,162","24,224",,,,,,
41,Main Street,"12,546","11,587","24,133",,,,,,
42,Wellesley,"10,451","12,685","23,136",,,,,,
43,Wilson,"10,230","12,582","22,812",,,,,,
44,Osgoode,"11,060","11,428","22,488",,,,,,
45,Royal York,"9,801","10,428","20,229",,,,,,
46,Lawrence West,"9,629","10,325","19,954",,,,,,
47,Jane,"10,232","9,589","19,821",,,,,,
48,Yorkdale,"9,786","9,365","19,151",,,,,,
49,Lansdowne,"9,859","9,394","19,253",,,,,,
50,Runnymede,"8,599","8,436","17,035",,,,,,
51,Eglinton West,"7,108","9,718","16,826",,,,,,
52,Dupont,"8,481","7,660","16,141",,,,,,
53,Coxwell,"6,700","8,560","15,260",,,,,,
54,Keele,"8,159","7,082","15,241",,,,,,
55,Woodbine,"6,702","7,682","14,384",,,,,,
56,"Spadina (line 1, Y-U)","7,085","6,708","13,793",,,,,,
57,Christie,"5,382","6,637","12,019",,,,,,
58,Donlands,"5,822","5,681","11,503",,,,,,
59,High Park,"5,133","5,254","10,387",,,,,,
60,Greenwood,"4,335","4,701","9,036",,,,,,
61,Bayview,"4,528","4,465","8,993",,,,,,
62,Castle Frank,"4,217","4,129","8,346",,,,,,
63,Lawrence East,"4,326","3,807","8,133",,,,,,
64,Museum ,"3,688","4,414","8,102",,,,,,
65,Chester,"3,573","4,124","7,697",,,,,,
66,Old Mill,"3,271","3,353","6,624",,,,,,
67,Leslie,"3,136","3,468","6,604",,,,,,
68,Rosedale,"2,870","3,114","5,984",,,,,,
69,Summerhill,"2,986","2,794","5,780",,,,,,
70,Glencairn,"3,069","2,646","5,715",,,,,,
71,McCowan,"2,857","1,759","4,616",,,,,,
72,Bessarion,"1,384","1,661","3,045",,,,,,
73,Midland,"1,358","1,054","2,412",,,,,,
74,Ellesmere,865,697,"1,562",,,,,,
